156, 156
248, 412
142, 668
204, 924
184, 1180
103, 1436
169, 1692
173, 1948
108, 2204
206, 2460
100, 2716
2, 2972
61, 3228
58, 3484
73, 3740
188, 3996
144, 4252
87, 4508
5, 4764
25, 5020
150, 5276
56, 5532
90, 5788
109, 6044
62, 6300
43, 6556
139, 6812
190, 7068
64, 7324
120, 7580
412, 186
504, 442
398, 698
460, 954
440, 1210
359, 1466
425, 1722
429, 1978
364, 2234
462, 2490
356, 2746
258, 3002
317, 3258
314, 3514
329, 3770
444, 4026
400, 4282
343, 4538
261, 4794
281, 5050
406, 5306
312, 5562
346, 5818
365, 6074
318, 6330
299, 6586
395, 6842
446, 7098
320, 7354
376, 7610
668, 59
760, 315
654, 571
716, 827
696, 1083
615, 1339
681, 1595
685, 1851
620, 2107
718, 2363
612, 2619
514, 2875
573, 3131
570, 3387
585, 3643
700, 3899
656, 4155
599, 4411
517, 4667
537, 4923
662, 5179
568, 5435
602, 5691
621, 5947
574, 6203
555, 6459
651, 6715
702, 6971
576, 7227
632, 7483
924, 11
1016, 267
910, 523
972, 779
952, 1035
871, 1291
937, 1547
941, 1803
876, 2059
974, 2315
868, 2571
770, 2827
829, 3083
826, 3339
841, 3595
956, 3851
912, 4107
855, 4363
773, 4619
793, 4875
918, 5131
824, 5387
858, 5643
877, 5899
830, 6155
811, 6411
907, 6667
958, 6923
832, 7179
888, 7435
1180, 75
1272, 331
1166, 587
1228, 843
1208, 1099
1127, 1355
1193, 1611
1197, 1867
1132, 2123
1230, 2379
1124, 2635
1026, 2891
1085, 3147
1082, 3403
1097, 3659
1212, 3915
1168, 4171
1111, 4427
1029, 4683
1049, 4939
1174, 5195
1080, 5451
1114, 5707
1133, 5963
1086, 6219
1067, 6475
1163, 6731
1214, 6987
1088, 7243
1144, 7499
1436, 52
1528, 308
1422, 564
1484, 820
1464, 1076
1383, 1332
1449, 1588
1453, 1844
1388, 2100
1486, 2356
1380, 2612
1282, 2868
1341, 3124
1338, 3380
1353, 3636
1468, 3892
1424, 4148
1367, 4404
1285, 4660
1305, 4916
1430, 5172
1336, 5428
1370, 5684
1389, 5940
1342, 6196
1323, 6452
1419, 6708
1470, 6964
1344, 7220
1400, 7476
1692, 146
1784, 402
1678, 658
1740, 914
1720, 1170
1639, 1426
1705, 1682
1709, 1938
1644, 2194
1742, 2450
1636, 2706
1538, 2962
1597, 3218
1594, 3474
1609, 3730
1724, 3986
1680, 4242
1623, 4498
1541, 4754
1561, 5010
1686, 5266
1592, 5522
1626, 5778
1645, 6034
1598, 6290
1579, 6546
1675, 6802
1726, 7058
1600, 7314
1656, 7570
1948, 94
2040, 350
1934, 606
1996, 862
1976, 1118
1895, 1374
1961, 1630
1965, 1886
1900, 2142
1998, 2398
1892, 2654
1794, 2910
1853, 3166
1850, 3422
1865, 3678
1980, 3934
1936, 4190
1879, 4446
1797, 4702
1817, 4958
1942, 5214
1848, 5470
1882, 5726
1901, 5982
1854, 6238
1835, 6494
1931, 6750
1982, 7006
1856, 7262
1912, 7518
2204, 46
2296, 302
2190, 558
2252, 814
2232, 1070
2151, 1326
2217, 1582
2221, 1838
2156, 2094
2254, 2350
2148, 2606
2050, 2862
2109, 3118
2106, 3374
2121, 3630
2236, 3886
2192, 4142
2135, 4398
2053, 4654
2073, 4910
2198, 5166
2104, 5422
2138, 5678
2157, 5934
2110, 6190
2091, 6446
2187, 6702
2238, 6958
2112, 7214
2168, 7470
2460, 134
2552, 390
2446, 646
2508, 902
2488, 1158
2407, 1414
2473, 1670
2477, 1926
